id;domanda;risposta_corretta;risposta_errata_1;risposta_errata_2
0001;"Secondo la ""teoria funzional-procedimentale"" il provvedimento è:";L'espressione tipica del potere amministrativo, nella misura in cui consente di manifestare all'esterno la volontà della p.a. ed è idoneo ad incidere unilateralmente nella sfera giuridica dei terzi.;Una manifestazione di volontà, espressione di discrezionalità amministrativa, con la quale l'amministrazione persegue finalità pubbliche.;Un atto che promana da un'autorità amministrativa nell'esercizio di poteri di autonomia privata.
0002;"Secondo la ""teoria negoziale"" il provvedimento è:";Una manifestazione di volontà, espressione di discrezionalità amministrativa, con la quale l'amministrazione persegue finalità pubbliche.;Un atto che promana da un'autorità amministrativa nell'esercizio di una funzione pubblica.;L'espressione tipica del potere amministrativo, nella misura in cui consente di manifestare all'esterno la volontà della p.a. ed è idoneo ad incidere unilateralmente nella sfera giuridica dei terzi.
0003;Con riferimento alle diverse nozioni di provvedimento amministrativo, secondo quale teoria il provvedimento è una manifestazione di volontà, espressione di discrezionalità amministrativa, con la quale l'amministrazione persegue finalitàpubbliche?;Teoria negoziale.;Teoria funzional-procedimentale.;Teoria formale.
0004;"Con riferimento ai caratteri propri dei provvedimenti amministrativi l'""unilateralità"":";Segnala che il provvedimento non ha bisogno del concorso della volontà dei destinatari per esistere.;Indica che i provvedimenti sono definiti nei loro elementi costitutivi dalla legge.;Sottolinea che essi sono solo quelli previsti dal legislatore.
0005;"Con riferimento ai caratteri propri dei provvedimenti amministrativi la ""tipicità"":";Indica che i provvedimenti sono definiti nei loro elementi costitutivi dalla legge.;Segnala che il provvedimento non ha bisogno del concorso della volontà dei destinatari peresistere.;Sottolinea che essi sono solo quelli previsti dal legislatore.
0006;"Secondo la dottrina prevalente i caratteri propri del provvedimento amministrativo sono: unilateralità; tipicità e nominatività; imperatività o autoritarietà; inoppugnabilità; efficacia ed esecutività. Quale tra essi è espressione del principio di legalità?";Tipicità.;Unilateralità.;Esecutività.
0007;"Secondo la dottrina prevalente i caratteri propri del provvedimento amministrativo sono: unilateralità; tipicità e nominatività; imperatività o autoritarietà; inoppugnabilità; efficacia ed esecutività. Quale tra essi è espressione del principio di legalità?";Nominatività.;Esecutività.;Unilateralità.
0008;"Con riferimento ai caratteri propri dei provvedimenti amministrativi con la ""nominatività"":";Si sottolinea che essi sono solo quelli previsti dal legislatore.;Si segnala che il provvedimento non ha bisogno del concorso della volontà dei destinatari per esistere.;Si indica che i provvedimenti sono definiti nei loro elementi costitutivi dalla legge.
0009;"Con riferimento ai caratteri propri dei provvedimenti amministrativi l'""imperatività o autoritarietà"":";Consiste nella sua idoneità a modificare situazioni giuridiche altrui, senza necessità di alcun consenso.;Segnala che il provvedimento non ha bisogno del concorso della volontà dei destinatari per esistere.;Sottolinea che essi sono solo quelli previsti dal legislatore.
0010;"Con riferimento ai caratteri propri dei provvedimenti amministrativi l'""inoppugnabilità"":";È l'idoneità del provvedimento a divenire definitivo decorso un breve termine di decadenza per l'impugnazione.;Segnala che il provvedimento non ha bisogno del concorso della volontà dei destinatari per esistere.;Indica che i provvedimenti sono definiti nei loro elementi costitutivi dalla legge.
0011;"Con riferimento ai caratteri propri dei provvedimenti amministrativi l'""efficacia"":";È intesa come l'idoneità dello stesso a produrre effetti.;È l'idoneità del provvedimento a divenire definitivo decorso un breve termine di decadenza perl'impugnazione.;Consiste nella sua idoneità a modificare situazioni giuridiche altrui, senza necessità di alcunconsenso.
0012;"Con riferimento ai caratteri propri dei provvedimenti amministrativi l'""esecutività"":";È intesa come l'idoneità del provvedimento efficace ad essere eseguito.;È l'idoneità del provvedimento a divenire definitivo decorso un breve termine di decadenza perl'impugnazione.;Consiste nella sua idoneità a modificare situazioni giuridiche altrui, senza necessità di alcunconsenso.
0013;"Secondo la dottrina prevalente i caratteri propri del provvedimento amministrativo sono: unilateralità; tipicità e nominatività; imperatività o autoritarietà; inoppugnabilità; efficacia ed esecutività. Quale carattere segnale che il provvedimento non ha bisogno del concorso della volontà dei destinatari per esistere?";Unilateralità.;Tipicità e nominatività.;Imperatività o autoritarietà.
0014;"Secondo la dottrina prevalente i caratteri propri del provvedimento amministrativo sono: unilateralità; tipicità e nominatività; imperatività o autoritarietà; inoppugnabilità; efficacia ed esecutività. Quale carattere indica che i provvedimenti sono definiti nei loro elementi costitutivi dalla legge?";Tipicità.;Imperatività o autoritarietà.;Inoppugnabilità.
0015;"Secondo la dottrina prevalente i caratteri propri del provvedimento amministrativo sono: unilateralità; tipicità e nominatività; imperatività o autoritarietà; inoppugnabilità; efficacia ed esecutività. Con quale carattere si sottolinea che essi sono solo quelli previsti dallegislatore?";Nominatività.;Unilateralità.;Imperatività o autoritarietà.
0016;"Secondo la dottrina prevalente i caratteri propri del provvedimento amministrativo sono: unilateralità; tipicità e nominatività; imperatività o autoritarietà; inoppugnabilità; efficacia ed esecutività. Quale carattere consiste nella sua idoneità a modificare situazioni giuridiche altrui, senza necessità di alcun consenso?";Imperatività o autoritarietà.;Unilateralità.;Tipicità e nominatività.
0017;"Secondo la dottrina prevalente i caratteri propri del provvedimento amministrativo sono: unilateralità; tipicità e nominatività; imperatività o autoritarietà; inoppugnabilità; efficacia ed esecutività. Quale carattere identifica la sua idoneità a divenire definitivo decorso un breve termine di decadenza per l'impugnazione?";Inoppugnabilità.;Unilateralità.;Imperatività o autoritarietà.
0018;Con riferimento ai caratteri propri del provvedimento amministrativo i termini esecutività, eseguibilità e esecutorietà identificano caratteristiche diverse. L'esecutività:;Rappresenta l'idoneità del provvedimento amministrativo ad essere eseguito.;Consiste nel potere, in capo all'amministrazione, di attuare in maniera coattiva la determinazione provvedimentale, senza dover ricorrere all'autorità giurisdizionale.;Rappresenta la possibilità legale e giuridica che gli effetti del provvedimento possano prodursi.
0019;Con riferimento ai caratteri propri del provvedimento amministrativo i termini esecutività, eseguibilità e esecutorietà identificano caratteristiche diverse. L'esecutorietà:;Consiste nel potere, in capo all'amministrazione, di attuare in maniera coattiva la determinazione provvedimentale, senza dover ricorrere all'autorità giurisdizionale.;Rappresenta l'idoneità del provvedimento amministrativo ad essere eseguito.;Rappresenta la possibilità legale e giuridica che gli effetti del provvedimento possano prodursi.
0020;"Esecutività, eseguibilità e esecutorietà; quale delle citate caratteristiche del provvedimento rappresenta l'idoneità delprovvedimento amministrativo ad essere eseguito?";Esecutività.;Eseguibilità.;Esecutorietà.
0021;"Esecutività, eseguibilità e esecutorietà; quale delle citate caratteristiche del provvedimento rappresenta la possibilità legale e giuridica che gli effetti del provvedimento possano prodursi?";Eseguibilità.;Esecutorietà.;Esecutività.
0022;"Esecutività, eseguibilità e esecutorietà; quale delle citate caratteristiche del provvedimento consiste nel potere, in capo all'amministrazione, di attuare in maniera coattiva la determinazione provvedimentale, senza dover ricorrere all'autorità giurisdizionale?";Esecutorietà.;Esecutività.;Eseguibilità.
0023;L’esecutività del provvedimento amministrativo:;Rappresenta l’idoneità del provvedimento amministrativo ad essere eseguito.;Rappresenta la possibilità legale e giuridica che gli effetti del provvedimento possono prodursi.;Rappresenta un carattere eccezionale del provvedimento, in quanto il potere di imporre coattivamente l’adempimento è limitato ai soli casi previsti dallalegge.
0024;L’eseguibilità del provvedimento amministrativo:;Rappresenta la possibilità legale e giuridica che gli effetti del provvedimento possono prodursi.;Rappresenta l’idoneità del provvedimento amministrativo ad essere eseguito.;Consiste nel potere, in capo all’amministrazione, di attuare coattivamente la determinazioneprovvedimentale.
