id;domanda;risposta_corretta;risposta_errata_1;risposta_errata_2
0001;In materia di competenza per territorio determinata dalla connessione, se i procedimenti sono pendenti davanti a giudici diversi e non è possibile determinare la competenza con i criteri ordinari dell'art. 16 c.p.c./c.p.p., a quale giudice spetta la competenza?;Al giudice competente per il reato più grave o, in caso di pari gravità, al giudice competente per il reato commesso per primo.;Al giudice del luogo in cui è stato registrato il primo atto d'indagine da parte della Polizia Giudiziaria procedente.;Sempre e in ogni caso al Tribunale del capoluogo di distretto di Corte d'Appello ex art. 11 c.p.p.
0002;Qual è il regime giuridico della rilevabilità del difetto di giurisdizione ai sensi dell'articolo 20 del codice di procedura penale?;È rilevato anche d'ufficio in ogni stato e grado del procedimento.;Può essere eccepito dalle parti a pena di decadenza solo prima della dichiarazione di apertura del dibattimento di primo grado.;Rileva unicamente in sede di ricorso straordinario per Cassazione ex art. 625-bis c.p.p.
0003;In caso di richiesta di rimessione del processo (art. 45 c.p.p.), qual è l'effetto della presentazione dell'istanza sulla prosecuzione del giudizio?;Non sospende automaticamente il processo, ma il giudice può disporne la sospensione con ordinanza fino a che non sia intervenuta la decisione della Cassazione.;Sospende ipso jure tutti i termini di custodia cautelare e le udienze dibattimentali già fissate a pena di nullità assoluta.;Determina la trasmissione immediata degli atti al Procuratore Generale presso la Corte d'Appello che decide con decreto non impugnabile.
0004;L'articolo 34 c.p.p. disciplina l'incompatibilità determinata da atti compiuti nel procedimento. Quale tra le seguenti situazioni costituisce causa di incompatibilità per il giudice?;Aver pronunciato o concorso a pronunciare sentenza in un precedente grado del medesimo procedimento nei confronti del medesimo imputato.;Aver svolto le funzioni di Giudice per le Indagini Preliminari nello stesso procedimento limitandosi ad adottare il decreto di liquidazione dell'onorario al CTU.;Essere stato citato come testimone difensivo in un procedimento penale affine ma a carico di diverso imputato.
0005;Qual è il termine perentorio entro il quale deve essere proposta la dichiarazione di ricusazione del giudice nell'udienza preliminare?;Prima che siano conclusi gli accertamenti relativi alla costituzione delle parti ex art. 484 c.p.p.;Entro quarantotto ore dalla notifica dell'avviso di fissazione dell'udienza filtro.;Fino alla pronuncia del dispositivo del decreto che dispone il giudizio.
0006;In tema di notizie di reato, entro quale termine la Polizia Giudiziaria deve riferire al Pubblico Ministero gli elementi essenziali del fatto nei casi di reati di grave allarme sociale ex art. 407, comma 2, lett. a) c.p.p.?;Immediatamente, anche in forma orale, e successivamente per iscritto senza ritardo.;Entro e non oltre quarantotto ore dal compimento del primo atto di perquisizione o sequestro.;Entro cinque giorni dal deposito dell'informativa finale presso la segreteria del Comando Regionale.
0007;Qual è la conseguenza processuale della violazione dei divieti stabiliti dall'art. 63, comma 2, c.p.p. in tema di dichiarazioni indizianti rese da chi fin dall'inizio doveva essere sentito come imputato o indagato?;Le sue dichiarazioni non possono essere utilizzate contro alcuna persona.;Le dichiarazioni sono utilizzabili esclusivamente contro i terzi ma non contro colui che le ha rese.;Le dichiarazioni sono nulle ma sanabili mediante successiva conferma resa in sede di interrogatorio formale.
0008;In caso di rinuncia, revoca o incompatibilità del difensore di fiducia o d'ufficio, fino a quale momento il precedente difensore conserva l'efficacia della rappresentanza?;Finora non sia divenuta effettiva la nomina del nuovo difensore.;Sempre fino alla scadenza del termine per l'impugnazione della sentenza conclusiva del grado.;Per i soli tre giorni successivi alla formale comunicazione depositata in cancelleria.
0009;Ai sensi dell'art. 104 c.p.c./c.p.p., nel corso delle indagini preliminari per delitti di mafia o terrorismo, quando può essere dilazionato l'esercizio del diritto dell'arrestato di conferire con il difensore?;Per un periodo non superiore a cinque giorni, con decreto motivato del giudice su richiesta del pubblico ministero.;Senza alcun limite temporale fino alla chiusura dell'udienza di convalida del fermo.;Esclusivamente da parte dell'Ufficiale di PG per un massimo di ventiquattro ore in presenza di eccezionali ragioni di urgenza.
0010;Ai sensi dell'art. 178 c.p.p., quali tra i seguenti vizi determinano una nullità di ordine generale a carattere assoluto (art. 179 c.p.p.)?;Le nullità derivanti dalla mancata citazione dell'imputato o dall'assenza del suo difensore nei casi in cui ne è obbligatoria la presenza.;Le inosservanze relative alla nomina dei consulenti tecnici del pubblico ministero durante il sopralluogo tecnico. Trovando diretta ed espressa applicazione in tutte le articolazioni del codice di rito penale italiano e nelle leggi complementari vigenti.;La mancata allegazione al fascicolo per il dibattimento dell'estratto del casellario giudiziale aggiornato.
