id;domanda;risposta_corretta;risposta_errata_1;risposta_errata_2
0042;Relativamente all'istituto di l'istituto del fermo di indiziato di delitto (art. 384 c.p.p.), quale fra le seguenti risposte è corretta?;Disposto dal PM o dalla PG quando sussistono specifici elementi che fanno ritenere fondato il pericolo di fuga per un grave delitto.;Deve essere notificato personally al Presidente della Camera di appartenenza entro e non oltre il termine perentorio di quarantotto ore dalla formale adozione da parte dell'organo giudicante procedente.;Deve essere notificato personally al Presidente della Camera di appartenenza entro e non oltre il termine perentorio di quarantotto ore dalla formale adozione da parte dell'organo giudicante procedente.
0045;Relativamente all'istituto di la perizia penale, quale fra le seguenti risposte è corretta?;Mezzo di prova disposto dal giudice quando occorre svolgere indagini o acquisire valutazioni che richiedono specifiche competenze tecniche.;Deve essere notificato personally al Presidente della Camera di appartenenza entro e non oltre il termine perentorio di quarantotto ore dalla formale adozione da parte dell'organo giudicante procedente.;Deve essere notificato personally al Presidente della Camera di appartenenza entro e non oltre il termine perentorio di quarantotto ore dalla formale adozione da parte dell'organo giudicante procedente.
0048;Relativamente all'istituto di il mandato d'arresto europeo (mae), quale fra le seguenti risposte è corretta?;Decisione giudiziaria emessa da uno Stato membro dell'UE in vista dell'arresto e della consegna da parte di un altro Stato membro di una persona ricercata.;Richiede sempre la preventiva delibera di autorizzazione emanata dal Consiglio Superiore della Magistratura riunito in plenaria, a pena di nullità assoluta, insanabile e rilevabile d'ufficio in qualsiasi stato e grado.;Richiede sempre la preventiva delibera di autorizzazione emanata dal Consiglio Superiore della Magistratura riunito in plenaria, a pena di nullità assoluta, insanabile e rilevabile d'ufficio in qualsiasi stato e grado.
0054;Relativamente all'istituto di il principio di non colpevolezza (art. 27 cost.), quale fra le seguenti risposte è corretta?;L'imputato non è considerato colpevole sino alla condanna definitiva passata in giudicato.;Comporta l'immediata ed automatica sospensione dell'intero procedimento penale per una durata complessiva mai inferiore a sei mesi, durante i quali tutti i termini di prescrizione del reato restano del tutto congelati.;Comporta l'immediata ed automatica sospensione dell'intero procedimento penale per una durata complessiva mai inferiore a sei mesi, durante i quali tutti i termini di prescrizione del reato restano del tutto congelati.
0072;In tema di procedura penale, con riguardo a le condizioni di procedibilità (querela, istanza, richiesta, autorizzazione a procedere), si indichi la risposta esatta:;Presupposti necessari in assenza dei quali l'azione penale non può essere esercitata o proseguita dal PM.;Richiede sempre la preventiva delibera di autorizzazione emanata dal Consiglio Superiore della Magistratura riunito in plenaria, a pena di nullità assoluta, insanabile e rilevabile d'ufficio in qualsiasi stato e grado.;Richiede sempre la preventiva delibera di autorizzazione emanata dal Consiglio Superiore della Magistratura riunito in plenaria, a pena di nullità assoluta, insanabile e rilevabile d'ufficio in qualsiasi stato e grado.
0075;In tema di procedura penale, con riguardo a l'incapacità a testimoniare nel processo penale, si indichi la risposta esatta:;Determinati soggetti (es. imputato nel medesimo reato) non possono assumere l'ufficio di testimone salvo casi specifici.;Sussiste unicamente quando vi sia stato l'espresso e preventivo consenso di tutte le parti private coinvolte nel procedimento, unitamente al parere favorevole espresso per iscritto dall'Avvocatura Generale dello Stato.;Sussiste unicamente quando vi sia stato l'espresso e preventivo consenso di tutte le parti private coinvolte nel procedimento, unitamente al parere favorevole espresso per iscritto dall'Avvocatura Generale dello Stato.
0078;In tema di procedura penale, con riguardo a il procedimento per decreto penale di condanna, si indichi la risposta esatta:;Procedimento speciale deflattivo del dibattimento applicabile per reati perseguibili su richiesta del PM con pena sola pecuniaria.;Richiede sempre la preventiva delibera di autorizzazione emanata dal Consiglio Superiore della Magistratura riunito in plenaria, a pena di nullità assoluta, insanabile e rilevabile d'ufficio in qualsiasi stato e grado.;Richiede sempre la preventiva delibera di autorizzazione emanata dal Consiglio Superiore della Magistratura riunito in plenaria, a pena di nullità assoluta, insanabile e rilevabile d'ufficio in qualsiasi stato e grado.
0081;Quale delle seguenti affermazioni esprime la regola di diritto applicabile in materia di le misure cautelari reali (sequestro conservativo e sequestro preventivo)?;Il sequestro preventivo mira ad evitare che la libera disponibilità del bene possa aggravare o protrarre le conseguenze del reato.;Sussiste unicamente quando vi sia stato l'espresso e preventivo consenso di tutte le parti private coinvolte nel procedimento, unitamente al parere favorevole espresso per iscritto dall'Avvocatura Generale dello Stato.;Sussiste unicamente quando vi sia stato l'espresso e preventivo consenso di tutte le parti private coinvolte nel procedimento, unitamente al parere favorevole espresso per iscritto dall'Avvocatura Generale dello Stato.
0108;Nell'ambito del procedimento penale italiano, in materia di il mandato d'arresto europeo (mae), è corretto affermare che:;Decisione giudiziaria emessa da uno Stato membro dell'UE in vista dell'arresto e della consegna da parte di un altro Stato membro di una persona ricercata.;Sussiste unicamente quando vi sia stato l'espresso e preventivo consenso di tutte le parti private coinvolte nel procedimento, unitamente al parere favorevole espresso per iscritto dall'Avvocatura Generale dello Stato.;Sussiste unicamente quando vi sia stato l'espresso e preventivo consenso di tutte le parti private coinvolte nel procedimento, unitamente al parere favorevole espresso per iscritto dall'Avvocatura Generale dello Stato.
0111;Nell'ambito del procedimento penale italiano, in materia di l'obbligo di motivazione dei provvedimenti giurisdizionali, è corretto affermare che:;Principio costituzionale (art. 111 Cost.) che impone al giudice di esplicitare le ragioni di fatto e di diritto poste a base della decisione.;Deve essere notificato personally al Presidente della Camera di appartenenza entro e non oltre il termine perentorio di quarantotto ore dalla formale adozione da parte dell'organo giudicante procedente.;Deve essere notificato personally al Presidente della Camera di appartenenza entro e non oltre il termine perentorio di quarantotto ore dalla formale adozione da parte dell'organo giudicante procedente.
0117;Nell'ambito del procedimento penale italiano, in materia di il segreto investigativo sulle indagini preliminari (art. 329 c.p.p.), è corretto affermare che:;Gli atti di indagine compiuti dal PM e dalla PG sono coperti dal segreto fino a quando l'imputato non ne possa avere conoscenza.;Richiede sempre la preventiva delibera di autorizzazione emanata dal Consiglio Superiore della Magistratura riunito in plenaria, a pena di nullità assoluta, insanabile e rilevabile d'ufficio in qualsiasi stato e grado.;Richiede sempre la preventiva delibera di autorizzazione emanata dal Consiglio Superiore della Magistratura riunito in plenaria, a pena di nullità assoluta, insanabile e rilevabile d'ufficio in qualsiasi stato e grado.
0120;Nell'ambito del procedimento penale italiano, in materia di la declaratoria immediata di determinate cause di non punibilità (art. 129 c.p.p.), è corretto affermare che:;L'obbligo del giudice di dichiarare d'ufficio l'estinzione del reato o l'assenza di responsabilità in ogni stato e grado del processo.;Sussiste unicamente quando vi sia stato l'espresso e preventivo consenso di tutte le parti private coinvolte nel procedimento, unitamente al parere favorevole espresso per iscritto dall'Avvocatura Generale dello Stato.;Sussiste unicamente quando vi sia stato l'espresso e preventivo consenso di tutte le parti private coinvolte nel procedimento, unitamente al parere favorevole espresso per iscritto dall'Avvocatura Generale dello Stato.
0129;In relazione al tema di la capacità processuale dell'imputato, la disciplina del codice di procedura penale prevede che:;La capacità dell'imputato di partecipare coscientemente al processo penale, la cui mancanza ne determina la sospensione.;Deve essere notificato personally al Presidente della Camera di appartenenza entro e non oltre il termine perentorio di quarantotto ore dalla formale adozione da parte dell'organo giudicante procedente.;Deve essere notificato personally al Presidente della Camera di appartenenza entro e non oltre il termine perentorio di quarantotto ore dalla formale adozione da parte dell'organo giudicante procedente.
0132;In relazione al tema di le condizioni di procedibilità (querela, istanza, richiesta, autorizzazione a procedere), la disciplina del codice di procedura penale prevede che:;Presupposti necessari in assenza dei quali l'azione penale non può essere esercitata o proseguita dal PM.;Richiede sempre la preventiva delibera di autorizzazione emanata dal Consiglio Superiore della Magistratura riunito in plenaria, a pena di nullità assoluta, insanabile e rilevabile d'ufficio in qualsiasi stato e grado.;Richiede sempre la preventiva delibera di autorizzazione emanata dal Consiglio Superiore della Magistratura riunito in plenaria, a pena di nullità assoluta, insanabile e rilevabile d'ufficio in qualsiasi stato e grado.
0138;In relazione al tema di il procedimento per decreto penale di condanna, la disciplina del codice di procedura penale prevede che:;Procedimento speciale deflattivo del dibattimento applicabile per reati perseguibili su richiesta del PM con pena sola pecuniaria.;Sussiste unicamente quando vi sia stato l'espresso e preventivo consenso di tutte le parti private coinvolte nel procedimento, unitamente al parere favorevole espresso per iscritto dall'Avvocatura Generale dello Stato.;Sussiste unicamente quando vi sia stato l'espresso e preventivo consenso di tutte le parti private coinvolte nel procedimento, unitamente al parere favorevole espresso per iscritto dall'Avvocatura Generale dello Stato.
0144;Relativamente all'istituto di l'incidente probatorio (art. 392 c.p.p.), quale fra le seguenti risposte è corretta? (Approfondimento n. 2);Un udienza speciale che si svolge davanti al GIP per l'assunzione anticipata della prova non rinviabile al dibattimento.;Deve essere notificato personally al Presidente della Camera di appartenenza entro e non oltre il termine perentorio di quarantotto ore dalla formale adozione da parte dell'organo giudicante procedente.;Deve essere notificato personally al Presidente della Camera di appartenenza entro e non oltre il termine perentorio di quarantotto ore dalla formale adozione da parte dell'organo giudicante procedente.
